,vehicle_id,shape_collider
0,0,passenger
14110,21,motorcycle
16501,24,motorcycle
18003,26,passenger
18521,28,motorcycle
25467,32,passenger
26580,33,passenger
28261,35,delivery
30511,37,delivery
31079,38,passenger
31642,39,delivery
34492,41,passenger
38472,42,passenger
39614,43,bus
42478,44,motorcycle
45337,45,passenger
46486,46,delivery
51657,48,delivery
52809,49,delivery
53387,50,bus
55126,51,delivery
58605,52,motorcycle
59187,53,passenger
60942,54,motorcycle
61532,55,delivery
65037,56,passenger
67965,57,delivery
69137,58,delivery
69721,59,delivery
73833,60,delivery
75010,61,moped
75602,62,moped
78564,63,bus
80923,64,motorcycle
82702,65,delivery
84486,66,passenger
89222,67,delivery
91013,68,bus
95756,70,delivery
99948,71,delivery
101142,72,passenger
102930,73,delivery
103526,74,passenger
106499,75,delivery
107098,76,delivery
107694,77,delivery
111198,78,passenger
114121,79,bus
115872,80,bus
116460,81,passenger
120508,82,motorcycle
121092,83,motorcycle
122247,84,passenger
125671,85,passenger
127359,86,passenger
129601,88,passenger
130169,89,passenger
130748,90,motorcycle
131899,91,bus
134199,92,passenger
135339,93,passenger
137564,94,delivery
139793,95,passenger
140350,96,passenger
140906,97,motorcycle
144250,98,passenger
144805,99,delivery
145366,100,motorcycle
148161,101,motorcycle
150965,102,passenger
152088,103,delivery
155466,104,delivery
157159,105,passenger
158853,106,delivery
162250,108,passenger
166224,109,passenger
167363,110,delivery
167930,111,passenger
170782,113,passenger
171929,114,passenger
173078,115,motorcycle
174225,116,bus
175377,117,passenger
176532,118,bus
177689,119,delivery
178846,120,motorcycle
178847,121,delivery
181169,122,delivery
185822,123,delivery
192825,127,passenger
193412,128,delivery
194001,129,moped
195180,130,passenger
198716,132,delivery
200493,133,passenger
201085,134,passenger
207610,136,bus
209393,137,passenger
210586,138,passenger
216568,141,bus
217165,142,delivery
218951,144,moped
220726,145,delivery
221318,146,delivery
224861,147,delivery
225453,148,motorcycle
226636,149,motorcycle
231946,150,moped
233717,151,motorcycle
234900,152,motorcycle
236671,153,delivery
237261,154,passenger
237852,155,passenger
238445,156,delivery
239038,157,moped
241984,158,passenger
244921,159,delivery
247849,160,passenger
251952,161,passenger
255469,162,passenger
259562,165,passenger
260729,166,delivery
261898,167,delivery
263067,168,passenger
264812,169,delivery
265971,170,passenger
266552,171,delivery
269438,172,passenger
272313,173,delivery
272889,174,passenger
275189,175,delivery
276342,177,passenger
276920,178,delivery
278079,179,delivery
281557,180,moped
282139,181,moped
283884,182,bus
284468,183,delivery
286220,184,passenger
294413,187,passenger
297349,188,delivery
297938,189,delivery
299706,190,motorcycle
306203,191,bus
308572,192,delivery
309760,193,bus
310356,194,passenger
312140,195,passenger
321070,197,passenger
322864,198,delivery
324659,199,motorcycle
1,200,delivery
2,201,motorcycle
3,202,passenger
4,203,delivery
5,205,passenger
6,206,passenger
7,209,passenger
39,217,passenger
8,218,passenger
9,223,delivery
10,224,moped
11,230,passenger
12,240,moped
13,249,moped
14,251,passenger
15,253,moped
16,261,motorcycle
17,290,moped
18,300,delivery
19,313,passenger
20,326,moped
21,332,moped
22,348,moped
23,409,moped
24,410,passenger
25,474,passenger
26,490,passenger
27,513,bus
28,667,delivery
29,716,moped
30,719,passenger
63,742,motorcycle
136,798,delivery
137,799,passenger
138,800,delivery
97,801,passenger
140,802,delivery
141,804,passenger
142,805,passenger
143,807,motorcycle
144,815,delivery
145,819,delivery
146,824,moped
147,829,passenger
148,834,motorcycle
149,838,bus
150,842,moped
98,846,delivery
152,863,motorcycle
153,898,delivery
99,913,passenger
155,922,moped
156,948,moped
157,979,motorcycle
101,1036,moped
102,1240,passenger
103,1301,bus
225,1370,delivery
226,1372,delivery
227,1388,passenger
228,1389,delivery
162,1393,motorcycle
230,1395,passenger
163,1396,moped
164,1403,moped
233,1420,passenger
165,1463,moped
166,1550,moped
305,1836,passenger
306,1839,moped
307,1840,moped
308,1842,moped
394,1844,motorcycle
309,1845,motorcycle
310,1856,delivery
397,1857,moped
311,1861,moped
312,1865,delivery
313,1866,moped
401,1882,delivery
314,1884,moped
403,1925,motorcycle
315,1934,moped
405,1975,passenger
316,1982,moped
318,2009,delivery
415,2137,passenger
328,2232,moped
330,2244,passenger
331,2245,passenger
614,2299,delivery
616,2301,delivery
515,2302,delivery
618,2303,moped
516,2304,bus
620,2317,passenger
517,2327,moped
518,2333,delivery
519,2382,moped
521,2401,moped
522,2418,passenger
523,2429,delivery
628,2488,passenger
525,2505,delivery
632,2515,delivery
633,2528,moped
635,2544,moped
636,2567,passenger
638,2620,moped
639,2737,motorcycle
751,2741,motorcycle
752,2747,motorcycle
872,2749,motorcycle
753,2755,delivery
754,2757,moped
875,2761,passenger
876,2765,delivery
877,2787,moped
755,2813,moped
879,2824,moped
880,2831,passenger
756,2841,passenger
757,2874,bus
884,2991,delivery
761,3132,moped
1150,3167,moped
1014,3168,passenger
1015,3171,passenger
1016,3172,delivery
1154,3173,passenger
1155,3174,passenger
1156,3180,delivery
1157,3190,passenger
1017,3217,moped
1018,3221,passenger
1160,3259,delivery
1162,3306,moped
1021,3330,passenger
1165,3365,moped
1022,3375,motorcycle
1023,3418,delivery
1024,3421,passenger
1026,3528,motorcycle
1315,3575,delivery
1470,3576,passenger
1471,3577,delivery
1316,3578,motorcycle
1317,3603,moped
1318,3605,motorcycle
1319,3608,passenger
1476,3618,moped
1477,3643,delivery
1478,3662,motorcycle
1320,3669,moped
1480,3684,delivery
1321,3689,motorcycle
1482,3704,moped
1483,3705,delivery
1322,3722,moped
1323,3770,moped
1324,3795,delivery
1821,3967,moped
1822,3969,passenger
1649,3970,bus
1650,3973,bus
1651,3974,motorcycle
1826,3975,passenger
1652,3976,passenger
1828,3978,delivery
1653,3982,passenger
1830,3986,passenger
1654,3992,delivery
1832,3996,delivery
1833,4001,passenger
1655,4002,delivery
1835,4031,moped
1838,4127,motorcycle
1658,4138,passenger
1840,4139,passenger
1841,4144,moped
1659,4151,delivery
1843,4215,moped
1660,4256,moped
2029,4342,bus
2030,4359,moped
2222,4361,moped
2031,4362,passenger
2224,4368,moped
2225,4376,delivery
2032,4387,delivery
2033,4404,delivery
2228,4438,delivery
2034,4503,delivery
2230,4527,motorcycle
2231,4546,passenger
2035,4567,delivery
2233,4600,moped
2432,4695,passenger
2640,4696,bus
2433,4698,passenger
2434,4699,delivery
2643,4708,passenger
2435,4709,delivery
2436,4713,passenger
2646,4718,passenger
2437,4730,passenger
2648,4735,moped
2649,4738,delivery
2651,4775,moped
2439,4778,delivery
2653,4779,moped
2440,4887,passenger
2441,4891,passenger
2657,4904,passenger
2873,5035,passenger
3097,5036,passenger
3098,5048,passenger
3099,5050,delivery
3100,5054,passenger
3101,5066,motorcycle
2874,5075,moped
2875,5120,moped
2876,5122,delivery
3106,5130,motorcycle
2878,5132,delivery
2879,5159,passenger
3109,5175,bus
2880,5192,moped
2881,5321,passenger
3584,5360,delivery
3342,5361,delivery
3343,5362,moped
3344,5373,delivery
3588,5377,motorcycle
3589,5382,passenger
3345,5386,motorcycle
3591,5390,delivery
3346,5410,motorcycle
3347,5428,moped
3594,5435,motorcycle
3595,5446,moped
3348,5463,passenger
3349,5496,passenger
3350,5500,motorcycle
3351,5536,bus
3352,5553,delivery
3353,5554,moped
3602,5568,delivery
4110,5671,passenger
3852,5672,delivery
3853,5674,delivery
4113,5678,motorcycle
3854,5681,delivery
4115,5684,delivery
3855,5692,passenger
4117,5697,moped
3856,5708,passenger
4119,5710,delivery
4120,5722,moped
3857,5724,delivery
3858,5747,delivery
3859,5750,delivery
3860,5955,passenger
4389,5963,delivery
4661,5964,moped
4390,5965,delivery
4663,5966,moped
