vehicle_id,victim_id
1240,5722
209,802
863,300
6444,3528
798,2787
2567,4600
3421,5377
3992,5710
2515,7959
913,8122
8236,2303
2137,6983
4699,4718
3722,1842
3974,348
6020,6274
8484,5075
6634,6296
7603,5132
2429,8664
6529,6259
7453,4730
804,838
2761,3973
1882,1389
4527,3643
4001,4342
8573,8361
8748,5750
9084,7665
4438,5054
1393,1388
7951,6784
1884,6797
8878,6763
8385,7414
8835,8816
8081,7227
6922,5568
2299,1463
8677,4709
3705,1866
8745,8517
8115,1836
9076,8364
8380,8245
9151,6662
4891,7624
8125,6242
3172,7783
898,9098
6756,719
201,3982
8791,8988
8343,800
8875,5536
8490,8873
8668,1975
9117,9011
8131,9022
313,4127
9013,9108
1861,9069
9145,5066
8104,9096
513,5692
8548,8925
9037,2245
8861,56
9174,7054
224,3221
6818,6531
7201,9198
9125,2841
6306,1370
8234,948
9017,8411
8413,9015
2232,4696
9107,6935
6758,70
9243,7969
9109,922
7794,9081
9110,2741
3217,846
8738,8552
251,9014
7647,1856
9133,9019
6243,5963
2009,9248
6767,8943
8749,5500
3603,2382
6678,6993
9205,8373
2401,6014
4361,261
2327,3576
8923,9232
3967,1395
6985,3167
8403,2824
4778,5360
2488,9211
5747,3577
8597,59
8140,2333
5678,8765
6535,7953
7661,3975
3969,9044
4362,9194
834,1301
7240,80
9104,7427
6297,4503
2505,7897
6752,9265
8096,326
7225,6764
9252,6258
8374,9162
8458,8661
5050,42
203,71
6513,67
7210,5361
8961,9032
4138,9139
7536,9159
9166,9163
1420,9149
842,8680
9286,41
9160,8910
9209,7417
8397,9176
8394,9296
9180,9308
9270,9169
8807,9244
5373,7779
9085,9197
4567,9121
6518,9175
9196,9260
5159,9272
9325,9155
1845,6253
2765,4215
9258,79
7637,9147
9294,3259
5708,9140
9009,2304
9114,9320
75,9303
91,7547
9275,53
6757,4139
9283,9100
9102,8106
9323,9070
8666,3375
8936,2528
9302,8247
3986,8824
172,170
7761,146
9146,68
3608,7116
9118,133
6288,9112
9326,51
8852,6232
9314,7070
7955,160
8746,8368
9090,6525
223,7781
410,9137
8963,6521
9215,190
7778,9300
7404,9080
716,102
3173,129
8499,9154
6503,9221
5321,9361
6984,9367
205,187
8475,9384
7950,8183
9086,195
9387,83
8269,9021
7784,3605
6539,3662
9201,9346
9249,9141
9225,48
8238,5724
9393,8665
9332,166
9347,2757
5671,7260
6506,6223
8978,8596
9343,9406
8976,9165
7617,240
8640,108
9394,1839
9144,116
9421,73
8757,2317
9242,9122
8960,9422
6076,9458
9427,9138
9309,104
9368,6492
2244,807
9437,4546
9376,8622
9234,9473
7788,819
9285,206
7750,6869
9264,9487
5192,9462
3190,2874
9472,9071
9500,7970
9185,9445
9389,8810
9504,8782
9513,9386
9518,9480
9517,4708
9074,141
9230,7318
5362,9392
7945,9088
9256,9400
5175,9407
9435,9288
8743,9319
332,109
9450,1982
9496,9404
9271,9396
3180,9441
5977,9539
9541,8922
8941,9129
8577,9433
9401,9557
9475,9173
9186,96
9495,9292
9511,9507
8058,118
8819,6257
5980,8918
9592,9431
9425,81
9331,9299
9156,9562
9459,9268
9556,9293
9606,9187
9571,3978
9484,1925
5382,57
9620,9616
1550,9580
192,8251
9358,8251
4359,9621
9310,9625
9391,9577
8477,9311
9540,9452
9640,173
8812,9124
9611,122
9280,9523
9373,9341
7245,182
9306,128
6289,9356
230,105
136,38
3306,8354
9257,202
9673,9192
7209,4404
9345,9492
7597,188
9667,7418
5446,8847
8865,33
9521,9199
9515,9579
9658,117
9532,145
9374,2831
9020,9585
2755,9688
9486,9439
9383,9614
9479,9190
9228,9664
9397,9315
9650,9516
8972,9476
9649,9706
9683,159
9609,9170
9529,90
9549,9157
9736,7611
7864,9277
9536,9652
9723,58
9692,829
9164,9739
7412,4904
9642,9236
9365,9494
9357,9324
9377,9360
9675,9561
9575,5390
9550,9632
9628,9730
6522,9701
9103,9468
9184,9749
217,180
9745,8389
9702,9680
9742,9289
9348,9301
9700,9167
9790,24
9779,9766
9498,9765
9789,9788
4031,8536
9263,5681
3174,5035
8809,9576
9224,9754
7524,9800
9773,5386
9564,9305
9329,9814
9568,168
9819,9295
9530,6004
9784,162
9330,9220
9284,9491
9381,9622
8621,9804
142,5036
9255,9761
137,9813
9639,9786
9685,3171
9830,9531
7813,114
9842,9839
9850,7884
120,9318
474,9563
9734,9134
9847,9837
9846,8105
3976,9338
9854,9870
9864,43
9276,9250
9287,9075
9587,9856
2737,6528
9863,9686
2301,9420
9824,9803
9395,9861
9644,5964
9874,9648
9897,9896
4775,9335
8585,93
9403,9412
3689,9890
6276,9695
9693,9849
9849,9218
9907,5553
9705,8339
8648,1372
9676,9728
9770,9821
9193,9177
4698,7636
9756,9135
742,9342
9714,9599
9253,9482
9950,9366
9928,119
9866,9893
9438,9887
9899,3168
9878,9915
9891,9948
9750,4713
76,5697
253,9663
9955,3575
9917,9970
9726,9538
9977,9921
9251,179
9934,9746
9524,9558
979,9755
9120,9951
9150,9988
9953,8780
9735,9499
9643,9993
9884,9604
10002,9477
9709,9677
9707,2544
9924,9254
9132,9666
9527,9990
10010,9805
9744,9440
9873,10013
10020,45
9653,9872
7523,10006
9158,103
7496,9178
9379,9390
9589,10021
10042,10037
9973,9828
9851,7599
9869,9875
72,9238
9101,9466
9995,9796
9812,9519
10025,9989
9471,3132
9537,9359
10067,9582
10059,6792
9572,9958
9042,1865
9904,9998
10052,9363
10017,9983
9656,92
9833,9954
3996,9715
111,10079
10085,9885
9881,9843
9729,3330
9119,9752
9456,9835
9848,9553
10048,9826
9982,9278
10103,4735
10102,10018
10095,191
9669,10058
10123,9975
9762,9030
10046,9410
9971,8980
9767,8704
9073,4376
9691,10045
10035,10029
10126,10050
10039,10111
10149,10134
9857,9555
10081,9465
10148,9443
10109,9402
10038,9637
9662,9334
9901,10049
10163,9503
9547,10172
10136,9528
10014,9785
9411,9615
9053,9997
10190,9913
10114,10051
10007,7835
10036,9753
9793,10155
10198,9059
10189,9769
9727,10158
9840,10183
10146,8753
9914,10157
10211,10195
10064,9349
9699,89
9570,10009
10202,10100
9939,10012
9781,9985
10142,9351
10220,8241
9049,9900
9605,10069
8886,10239
10068,3704
9757,10218
9369,10118
10224,10256
9322,10057
10254,9903
8930,9380
10072,8964
9542,10115
10182,134
10264,10005
10179,9483
10237,10077
10215,9996
9792,10252
10271,9963
9844,10273
290,10255
10087,9751
10240,10216
10150,10121
10258,10290
10008,9418
10227,9965
9514,10223
10184,10185
10173,10230
9678,10181
6804,10178
9603,10080
10323,9763
10307,10265
9668,9574
10011,9831
10106,9161
10340,10174
5674,10244
9398,10314
10344,10243
9245,153
9959,9509
10342,9738
10362,10359
9216,9724
10066,1403
10338,10272
10348,10300
10253,10346
10357,10294
10369,10175
10358,9799
10339,10044
10191,9095
8921,10143
10167,10238
10228,9312
10219,10040
10316,10236
10003,9981
9354,10090
10277,10229
9559,9774
9911,9024
10360,74
9809,9328
9659,10288
10407,10399
10162,9026
10400,10291
9115,9818
9877,10078
9631,7975
10317,7408
10384,10199
10421,10367
10261,10116
9908,10402
10200,9189
9940,9123
10394,9489
10263,10030
4144,10188
9040,9584
10153,10235
10418,10412
10355,10171
10187,64
9768,9565
10304,10270
9772,10147
10140,10381
10474,3970
10128,490
10205,10292
10451,10225
10457,10452
10432,10448
10428,10245
10177,9065
10485,10439
10487,10212
9089,10370
10127,157
10504,9976
10156,39
10071,9836
10260,174
10125,9860
9943,9910
9657,9624
10062,8909
10022,10489
84,10434
10426,9645
9808,10347
10511,10406
10041,10476
10414,123
10528,10061
10534,10541
10379,9485
10315,10557
10364,10392
10392,10404
