vehicle_id,shape_collider,length,width
0,passenger,5,1.8
2,passenger,5,1.8
3,passenger,5,1.8
4,motorcycle,2.2,0.9
5,passenger,5,1.8
6,passenger,5,1.8
7,delivery,6.5,2.16
8,delivery,6.5,2.16
9,passenger,5,1.8
10,moped,2.1,0.8
11,moped,2.1,0.8
12,passenger,5,1.8
13,delivery,6.5,2.16
15,passenger,5,1.8
17,passenger,5,1.8
18,passenger,5,1.8
19,moped,2.1,0.8
20,passenger,5,1.8
21,motorcycle,2.2,0.9
23,moped,2.1,0.8
24,delivery,6.5,2.16
25,bus,12,2.5
26,delivery,6.5,2.16
27,delivery,6.5,2.16
28,motorcycle,2.2,0.9
29,passenger,5,1.8
30,delivery,6.5,2.16
31,bus,12,2.5
32,passenger,5,1.8
33,passenger,5,1.8
34,passenger,5,1.8
35,delivery,6.5,2.16
36,passenger,5,1.8
37,passenger,5,1.8
38,delivery,6.5,2.16
39,motorcycle,2.2,0.9
40,passenger,5,1.8
41,passenger,5,1.8
42,delivery,6.5,2.16
43,motorcycle,2.2,0.9
44,passenger,5,1.8
45,passenger,5,1.8
46,delivery,6.5,2.16
48,moped,2.1,0.8
49,delivery,6.5,2.16
50,moped,2.1,0.8
51,motorcycle,2.2,0.9
52,motorcycle,2.2,0.9
53,moped,2.1,0.8
54,motorcycle,2.2,0.9
55,delivery,6.5,2.16
56,passenger,5,1.8
57,delivery,6.5,2.16
58,moped,2.1,0.8
59,passenger,5,1.8
60,passenger,5,1.8
61,passenger,5,1.8
62,passenger,5,1.8
63,passenger,5,1.8
64,passenger,5,1.8
65,delivery,6.5,2.16
66,delivery,6.5,2.16
67,motorcycle,2.2,0.9
68,delivery,6.5,2.16
70,passenger,5,1.8
71,motorcycle,2.2,0.9
72,delivery,6.5,2.16
73,passenger,5,1.8
74,passenger,5,1.8
75,passenger,5,1.8
76,passenger,5,1.8
77,passenger,5,1.8
78,bus,12,2.5
79,delivery,6.5,2.16
80,bus,12,2.5
81,passenger,5,1.8
82,passenger,5,1.8
83,motorcycle,2.2,0.9
84,passenger,5,1.8
85,passenger,5,1.8
86,delivery,6.5,2.16
87,delivery,6.5,2.16
88,passenger,5,1.8
89,passenger,5,1.8
90,moped,2.1,0.8
91,bus,12,2.5
92,delivery,6.5,2.16
93,passenger,5,1.8
94,passenger,5,1.8
95,moped,2.1,0.8
96,passenger,5,1.8
97,passenger,5,1.8
98,moped,2.1,0.8
99,passenger,5,1.8
100,motorcycle,2.2,0.9
101,delivery,6.5,2.16
102,moped,2.1,0.8
103,delivery,6.5,2.16
104,bus,12,2.5
105,delivery,6.5,2.16
106,delivery,6.5,2.16
107,bus,12,2.5
108,passenger,5,1.8
109,delivery,6.5,2.16
110,bus,12,2.5
111,passenger,5,1.8
112,passenger,5,1.8
113,passenger,5,1.8
114,passenger,5,1.8
115,passenger,5,1.8
116,passenger,5,1.8
117,delivery,6.5,2.16
118,motorcycle,2.2,0.9
119,passenger,5,1.8
