v1,v2
31477,34003
33063,33228
33130,33973
33268,33958
33268,34256
33368,33371
33395,33816
33526,33706
33673,34319
33690,33727
33690,34044
33690,34321
33727,34044
33727,34321
33834,34311
33880,34132
33958,34256
34003,34117
34017,34169
34044,34321
34085,34109
34117,34210
34268,34320
34289,34364
34347,34371
35074,37019
35617,38764
36333,39006
36483,37411
36612,38578
37164,38944
37417,37467
37454,38636
37758,38988
37949,38569
37966,38732
38038,38149
38062,38136
38136,38979
38179,38624
38285,38947
38291,38879
38455,38600
38588,38873
38614,38791
38686,38936
38698,38748
25646,28044
25953,28930
26689,28613
26694,28253
26694,28994
27536,28523
27587,29079
27635,28725
27664,28206
27664,29126
27921,28151
27921,28352
27943,28094
27943,28864
28005,28808
28016,28371
28016,29072
28041,28130
28054,29137
28089,29073
28094,28864
28130,28352
28206,29126
28253,28994
28350,28712
28371,29072
28455,28821
28523,29046
28639,28655
28640,28879
28642,28718
28642,29168
28713,28856
28718,29168
28723,29032
28738,28906
28766,29136
28832,29110
28880,29140
28899,29128
15364,16029
15372,15395
15440,16716
15710,17060
15942,16716
15952,16672
15952,17294
16123,17253
16161,16541
16259,17053
16387,17020
16393,17276
16406,17210
16614,16845
16621,17117
16672,17294
16820,16852
16837,17146
17023,17049
17034,17106
17063,17173
25953,29447
26252,29458
26906,29422
27943,29455
28094,29455
28115,29246
28864,29455
28930,29447
29309,29357
29395,29449
22966,24545
22966,24663
22966,25189
23108,24208
23108,25054
23537,25161
23549,24132
23549,25116
24043,24906
24099,25113
24103,25142
24118,25115
24132,25137
24208,25054
24378,24594
24526,24947
24545,24663
24545,25189
24646,24902
24648,24956
24755,24869
24824,24985
24835,25057
24957,25079
25089,25140
25120,25189
15440,17343
15942,17343
16102,17385
16259,17335
16347,17405
16716,17343
16782,17423
16816,17404
16954,17335
16982,17408
17053,17335
17142,17406
16727,17817
16788,17471
16820,17855
16820,17879
16837,18025
16870,17951
16970,17910
17146,18025
17160,17457
17160,17743
17222,17877
17457,17495
17457,17743
17495,17743
17537,17545
17591,17973
17618,17801
17759,17898
17799,17994
17829,18021
17829,18102
17837,17970
17855,17879
17989,18100
18021,18102
33340,35140
33498,35847
33564,35344
33923,35796
33923,35820
34079,35554
34106,35775
34416,34737
34416,34827
34416,35761
34416,35970
34436,34951
34650,35775
34719,35510
34737,34827
34737,35761
34737,35970
34827,35761
34827,35886
34827,35970
34908,35401
34908,35831
35081,35975
35106,35951
35179,35579
35227,35851
35243,35245
35288,35863
35373,35953
35375,35853
35376,35480
35376,35776
35401,35831
35424,35821
35449,35759
35460,35710
35563,35584
35582,35687
35582,35692
35590,35935
35687,35692
35761,35970
35776,35835
35796,35820
35808,35819
35891,35984
26689,29469
27235,29955
27280,30195
27280,30338
28613,29469
28911,29515
29000,30008
29017,29981
29246,29917
29251,30076
29261,30076
29456,30101
29613,29926
29628,30346
29671,29751
29862,29894
29862,30113
29894,30113
29909,29936
30195,30338
30273,30281
34331,38308
34567,38094
34596,37798
36101,37686
36587,38117
36669,37252
36669,38222
36887,37756
36931,38368
37022,37880
37061,38323
37147,37289
37147,37596
37147,38015
37234,37341
37252,38222
37289,37596
37289,38015
37312,38350
37398,37860
37398,38109
37398,38186
37458,37779
37458,37798
37484,38271
37484,38307
37551,37665
37551,38180
37596,38015
37654,37915
37665,38180
37703,37786
37860,38070
37891,38329
37936,37992
37936,38323
37992,38323
38053,38242
38109,38186
38152,38346
38170,38288
38271,38307
43891,46393
44440,45913
44477,46643
45080,45993
45168,46067
45168,46368
45542,45543
45542,45877
45542,45967
45542,46036
45542,46268
45542,46298
45542,46299
45542,46346
45542,46386
45542,46544
45542,46563
45542,46621
45542,46633
45542,46654
45542,46655
45542,46659
45542,46662
45543,45877
45543,45967
45543,46036
45543,46268
45543,46298
45543,46299
45543,46346
45543,46386
45543,46544
45543,46563
45543,46621
45543,46633
45543,46654
45543,46655
45543,46659
