,victim_id,shape_victim
0,-1,-1
2687055,-1,-1
5421317,11672,moped
1345759,9238,delivery
253341,9303,motorcycle
1195823,5697,moped
2312666,10434,motorcycle
257609,7547,passenger
1493834,10079,bus
1059023,9318,passenger
2566894,9867,delivery
798266,38,passenger
1052452,9813,passenger
1036858,5036,passenger
2863812,9593,moped
273463,170,passenger
746757,8251,delivery
71287,3982,passenger
181767,71,delivery
340240,187,passenger
7967,802,delivery
921772,180,moped
310364,7781,passenger
90784,3221,passenger
797717,105,passenger
107431,9014,bus
1200532,9663,passenger
1931788,10255,moped
82531,4127,motorcycle
676077,109,passenger
313995,9137,motorcycle
1059112,9563,moped
85583,5692,passenger
324229,102,passenger
1149053,9342,passenger
15866,2787,moped
33587,838,bus
147370,1301,bus
201984,8680,delivery
8655,300,delivery
68227,9098,delivery
19982,8122,delivery
1217729,9755,motorcycle
7578,5722,moped
43476,1388,passenger
199904,9149,bus
745531,9580,delivery
2628682,10660,passenger
228414,6253,passenger
83069,9069,passenger
34377,1389,delivery
45780,6797,passenger
117302,9248,passenger
21075,6983,passenger
100306,4696,bus
467922,807,motorcycle
50958,1463,moped
1083631,9420,passenger
124209,3576,passenger
123642,6014,bus
28212,8664,passenger
127587,9211,passenger
161716,7897,motorcycle
19018,7959,moped
16030,4600,moped
1080040,6528,moped
852276,9688,delivery
33860,3973,bus
234937,4215,moped
67248,7783,passenger
325890,129,moped
963742,5035,passenger
682657,9441,passenger
518320,2874,bus
106872,846,delivery
800129,8354,passenger
17041,5377,motorcycle
119678,2382,moped
284526,7116,moped
1118430,9890,delivery
52754,1866,moped
23848,1842,moped
125967,1395,passenger
144892,9044,delivery
23855,348,moped
1066285,9338,bus
270087,8824,moped
18070,5710,delivery
1488495,9715,bus
36186,4342,bus
952964,8536,delivery
194680,9139,passenger
2181287,10188,moped
752802,9621,delivery
123723,261,motorcycle
147148,9194,moped
43051,5054,passenger
35077,3643,delivery
218454,9121,delivery
1143612,7636,moped
22265,4718,passenger
1099257,9335,passenger
126566,5360,delivery
64997,7624,bus
3387376,11107,passenger
178392,42,passenger
221439,9272,delivery
637137,9407,bus
511780,9462,moped
336747,9361,bus
614345,9392,passenger
216099,7779,moped
736043,57,delivery
827761,8847,moped
4441138,11396,delivery
379877,7260,bus
2010981,10244,passenger
139959,8765,bus
241536,9140,delivery
132172,3577,delivery
684530,9539,passenger
704294,8918,delivery
26712,6274,delivery
423651,9458,delivery
116333,5963,delivery
1118478,9695,delivery
291638,9112,motorcycle
795416,9356,moped
157348,4503,delivery
93943,1370,delivery
9299,3528,motorcycle
332596,9221,delivery
379908,6223,passenger
184847,67,delivery
218535,9175,bus
920071,9701,passenger
28968,6259,bus
143900,7953,bus
355968,3662,motorcycle
27858,6296,delivery
120972,6993,delivery
166998,9265,passenger
68595,719,passenger
262076,4139,passenger
101715,70,delivery
118681,8943,bus
1990010,10178,passenger
91015,6531,delivery
50611,5568,delivery
337405,9367,delivery
126110,3167,moped
2992785,10844,motorcycle
91620,9198,passenger
813414,4404,delivery
186038,5361,delivery
167588,6764,passenger
151198,80,bus
791844,182,bus
323045,9080,moped
911714,4904,passenger
30708,4730,passenger
1312775,9178,passenger
1303178,10006,delivery
980632,9800,delivery
196595,9159,passenger
820022,188,delivery
27928,5132,delivery
390738,240,moped
238677,9147,moped
114100,1856,delivery
143967,3975,passenger
499271,6869,delivery
278302,146,delivery
320086,9300,delivery
355417,3605,motorcycle
489079,819,delivery
106526,9081,delivery
1056198,114,passenger
900945,9277,passenger
615633,9088,delivery
2552563,10635,passenger
344042,8183,moped
45536,6784,delivery
298756,160,passenger
701971,118,bus
49552,7227,delivery
167087,326,moped
84587,9096,delivery
56469,1836,passenger
65779,6242,passenger
3242897,9771,delivery
79862,9022,motorcycle
139554,2333,delivery
94065,948,moped
20913,2303,moped
373414,5724,delivery
351855,9021,delivery
73987,800,delivery
173391,9162,bus
61139,8245,motorcycle
47872,7414,passenger
207911,9296,moped
207318,9176,bus
126229,2824,moped
99454,9015,bus
177428,8661,moped
341678,9384,bus
769722,9311,passenger
26913,5075,moped
78127,8873,delivery
327304,9154,bus
87584,8925,passenger
38184,8361,passenger
694217,9433,delivery
1105946,93,passenger
135141,59,delivery
1031048,9804,passenger
406987,108,passenger
1125725,1372,delivery
266268,3375,motorcycle
78147,1975,passenger
51343,4709,delivery
3280678,10828,passenger
107196,8552,passenger
673862,9319,delivery
54804,8517,passenger
299991,8368,delivery
39349,5750,delivery
118838,5500,motorcycle
417179,2317,passenger
72868,8988,passenger
215704,9244,motorcycle
972289,9576,passenger
780530,9124,bus
703206,6257,passenger
47935,8816,delivery
294715,6232,passenger
89401,56,passenger
827875,33,passenger
74056,5536,bus
46799,6763,delivery
1821501,10239,passenger
2059009,10143,passenger
125721,9232,delivery
1888096,9380,delivery
266881,2528,moped
693648,9129,passenger
423193,9422,passenger
192026,9032,passenger
316616,6521,passenger
880026,9476,delivery
389635,9165,passenger
383641,8596,passenger
243512,2304,bus
82929,9108,passenger
98938,8411,bus
850666,9585,delivery
87668,2245,passenger
2181357,9584,passenger
1421418,1865,delivery
1779524,9900,passenger
1677553,9997,passenger
1587586,4376,delivery
597131,141,bus
56627,8364,moped
42297,7665,passenger
216959,9197,delivery
345953,195,passenger
2290513,10370,delivery
300646,6525,delivery
1360842,9466,moped
264030,8106,delivery
920787,9468,passenger
154784,7427,moped
100771,6935,bus
104926,922,moped
106699,2741,motorcycle
245312,9320,passenger
2108795,9818,delivery
2466215,9810,delivery
79442,9011,passenger
286591,133,passenger
1518023,9752,passenger
1222879,9951,motorcycle
93044,2841,passenger
1267870,9666,delivery
114298,9019,passenger
414268,116,bus
84188,5066,motorcycle
281950,68,bus
1225883,9988,delivery
63657,6662,passenger
714648,9562,motorcycle
1304466,103,delivery
203311,8910,passenger
911235,9739,motorcycle
196818,9163,passenger
90716,7054,delivery
209251,9308,delivery
920811,9749,passenger
538999,9445,passenger
695501,96,passenger
1136586,9177,delivery
219995,9260,delivery
358582,9346,delivery
3001815,10760,passenger
123578,8373,moped
206897,7417,moped
2995218,10745,delivery
319682,190,motorcycle
2035062,9724,delivery
973556,9754,delivery
360386,48,delivery
866309,9664,passenger
607985,7318,moped
485053,9473,delivery
420292,9122,passenger
104429,7969,passenger
2014669,153,delivery
2603579,10165,delivery
359799,9141,passenger
1213314,179,delivery
173032,6258,passenger
1161764,9482,moped
1052123,9761,delivery
633783,9400,passenger
803987,202,passenger
235971,79,bus
960977,5681,delivery
506051,9487,delivery
211095,9169,delivery
679370,9396,passenger
258289,53,passenger
1070675,9250,passenger
784229,9523,bus
263547,9100,passenger
1026948,9491,passenger
489277,206,passenger
202805,41,passenger
1073075,9075,passenger
238949,3259,delivery
2869874,10620,motorcycle
268772,8247,delivery
792634,128,delivery
450317,104,delivery
754870,9625,passenger
296061,7070,delivery
1881549,10057,delivery
264158,9070,delivery
225990,9155,passenger
292557,51,delivery
989777,9814,delivery
1024563,9220,delivery
708727,9299,bus
374825,166,delivery
384400,9406,motorcycle
815416,9492,passenger
375434,2757,moped
927439,9301,motorcycle
3885172,11371,delivery
2087846,10090,delivery
914890,9324,delivery
913699,9494,delivery
453955,6492,passenger
1880360,10118,moped
787876,9341,delivery
847799,2831,passenger
477949,8622,delivery
916695,9360,delivery
1315912,9390,passenger
1029980,9622,passenger
859191,9614,passenger
346725,83,motorcycle
546311,8810,delivery
758514,9577,delivery
373680,8665,delivery
413812,1839,moped
1092886,9861,moped
867579,9315,delivery
2012894,10314,delivery
694419,9557,moped
1110269,9412,delivery
1673420,9615,delivery
414431,73,delivery
707584,81,passenger
446202,9138,motorcycle
645283,9288,delivery
470189,4546,passenger
1182804,9887,delivery
5524439,11113,motorcycle
677679,1982,moped
2645562,9710,motorcycle
1523490,9835,passenger
716588,9268,bus
1377123,3132,moped
523576,9071,moped
695053,9173,passenger
864023,9190,moped
733393,1925,motorcycle
858039,9439,delivery
2395491,10561,delivery
699852,9292,delivery
678906,9404,delivery
938280,9765,delivery
523601,7970,moped
559586,8782,moped
700464,9507,passenger
579982,9386,passenger
1984148,10223,bus
840081,9579,passenger
588379,4708,passenger
585983,9480,moped
832288,9199,delivery
1216998,9558,delivery
5956211,11555,passenger
1273375,9990,delivery
